Артикул;Название;Цвет;Категория;Описание;Состав;Размер;Цена;Изображение;Основной цвет;Коллекция;Группа;Тема;Название акции;Скидка
0791/46/753;Сукня “Лілі”;бірюзова;Одяг/Сукні;Нарядна довга сукня в стилі «фолк». По рукавам та переду розташована вишивка квітів, яка поєднується з натуральним мереживом кольору сукні. Верхня частина сукні має підріз нижче лінії талії. Спідниця сукні довга, має об`ємні склади зпереду та ззаду. Довжина виробу по спинці 125 см. Довжина рукава 45 см.;100% льон;;2200;0791-753.jpg,0791-753-2.jpg;;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс;Знижка;1190
0791/48/753;Сукня “Лілі”;бірюзова;Одяг/Сукні;Нарядна довга сукня в стилі «фолк». По рукавам та переду розташована вишивка квітів, яка поєднується з натуральним мереживом кольору сукні. Верхня частина сукні має підріз нижче лінії талії. Спідниця сукні довга, має об`ємні склади зпереду та ззаду. Довжина виробу по спинці 125 см. Довжина рукава 45 см.;100% льон;;2200;0791-753.jpg,0791-753-2.jpg;;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс;Знижка;1190
0791/50/753;Сукня “Лілі”;бірюзова;Одяг/Сукні;Нарядна довга сукня в стилі «фолк». По рукавам та переду розташована вишивка квітів, яка поєднується з натуральним мереживом кольору сукні. Верхня частина сукні має підріз нижче лінії талії. Спідниця сукні довга, має об`ємні склади зпереду та ззаду. Довжина виробу по спинці 125 см. Довжина рукава 45 см.;100% льон;;2200;0791-753.jpg,0791-753-2.jpg;;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс;Знижка;1190
0791/42/999;Сукня “Лілі”;темно-синя;Одяг/Сукні;Нарядна довга сукня в стилі «фолк». По рукавам та переду розташована вишивка квітів, яка поєднується з натуральним мереживом кольору сукні. Верхня частина сукні має підріз нижче лінії талії. Спідниця сукні довга, має об`ємні склади зпереду та ззаду. Довжина виробу по спинці 125 см. Довжина рукава 45 см.;100% льон;;2200;0791-999.jpg,0791-999-2.jpg;;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс;Знижка;1190
0791/44/999;Сукня “Лілі”;темно-синя;Одяг/Сукні;Нарядна довга сукня в стилі «фолк». По рукавам та переду розташована вишивка квітів, яка поєднується з натуральним мереживом кольору сукні. Верхня частина сукні має підріз нижче лінії талії. Спідниця сукні довга, має об`ємні склади зпереду та ззаду. Довжина виробу по спинці 125 см. Довжина рукава 45 см.;100% льон;;2200;0791-999.jpg,0791-999-2.jpg;;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс;Знижка;1190
0791/46/999;Сукня “Лілі”;темно-синя;Одяг/Сукні;Нарядна довга сукня в стилі «фолк». По рукавам та переду розташована вишивка квітів, яка поєднується з натуральним мереживом кольору сукні. Верхня частина сукні має підріз нижче лінії талії. Спідниця сукні довга, має об`ємні склади зпереду та ззаду. Довжина виробу по спинці 125 см. Довжина рукава 45 см.;100% льон;;2200;0791-999.jpg,0791-999-2.jpg;;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс;Знижка;1190
0791/48/999;Сукня “Лілі”;темно-синя;Одяг/Сукні;Нарядна довга сукня в стилі «фолк». По рукавам та переду розташована вишивка квітів, яка поєднується з натуральним мереживом кольору сукні. Верхня частина сукні має підріз нижче лінії талії. Спідниця сукні довга, має об`ємні склади зпереду та ззаду. Довжина виробу по спинці 125 см. Довжина рукава 45 см.;100% льон;;2200;0791-999.jpg,0791-999-2.jpg;;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс;Знижка;1190
0791/50/999;Сукня “Лілі”;темно-синя;Одяг/Сукні;Нарядна довга сукня в стилі «фолк». По рукавам та переду розташована вишивка квітів, яка поєднується з натуральним мереживом кольору сукні. Верхня частина сукні має підріз нижче лінії талії. Спідниця сукні довга, має об`ємні склади зпереду та ззаду. Довжина виробу по спинці 125 см. Довжина рукава 45 см.;100% льон;;2200;0791-999.jpg,0791-999-2.jpg;;Літо 2017;Вишитий одяг;Квіти,Симфонія квітів,Міський романс;Знижка;1190
0684/40/101;Сукня “Роксолана”;біла;Одяг/Сукні;Надзвичайно романтична жіноча  сукня, перед і рукава якої оздоблені вишивкою і мереживом. Силует прилеглий, горловина круглої  форми без коміру, рукави знизу зібрані і закічуються манжетою. На спинці розташована застібка блискавка. По низу спідниці розташовані  декілька рядів защіпів між рядами мережива.Довжина сукні по спинці 131см. Довжина рукава  45см.;100% льон;;2200;0684-101.JPG;;Літо 2017;Вишитий одяг;Рози,Урочиста подія,Випускний вечір;;
0684/42/101;Сукня “Роксолана”;біла;Одяг/Сукні;Надзвичайно романтична жіноча  сукня, перед і рукава якої оздоблені вишивкою і мереживом. Силует прилеглий, горловина круглої  форми без коміру, рукави знизу зібрані і закічуються манжетою. На спинці розташована застібка блискавка. По низу спідниці розташовані  декілька рядів защіпів між рядами мережива.Довжина сукні по спинці 131см. Довжина рукава  45см.;100% льон;;2200;0684-101.JPG;;Літо 2017;Вишитий одяг;Рози,Урочиста подія,Випускний вечір;;
0684/44/101;Сукня “Роксолана”;біла;Одяг/Сукні;Надзвичайно романтична жіноча  сукня, перед і рукава якої оздоблені вишивкою і мереживом. Силует прилеглий, горловина круглої  форми без коміру, рукави знизу зібрані і закічуються манжетою. На спинці розташована застібка блискавка. По низу спідниці розташовані  декілька рядів защіпів між рядами мережива.Довжина сукні по спинці 131см. Довжина рукава  45см.;100% льон;;2200;0684-101.JPG;;Літо 2017;Вишитий одяг;Рози,Урочиста подія,Випускний вечір;;
0684/46/101;Сукня “Роксолана”;біла;Одяг/Сукні;Надзвичайно романтична жіноча  сукня, перед і рукава якої оздоблені вишивкою і мереживом. Силует прилеглий, горловина круглої  форми без коміру, рукави знизу зібрані і закічуються манжетою. На спинці розташована застібка блискавка. По низу спідниці розташовані  декілька рядів защіпів між рядами мережива.Довжина сукні по спинці 131см. Довжина рукава  45см.;100% льон;;2200;0684-101.JPG;;Літо 2017;Вишитий одяг;Рози,Урочиста подія,Випускний вечір;;
