Артикул;Название;Категория;Описание;Состав;Размер;Цена;Изображение;Группа;Тема;Название акции;Скидка
82-05/119/01к/76;Рушник ;Домашній текстиль/Для кухні/Рушники;Рушник з вишивкою та мереживом "Маки";100% льон;40х110 см;289;82_05_119_01k_76.jpg;Національна традиція;Маки;;
82-19/094/01k/76;Рушник ;Домашній текстиль/Для кухні/Рушники;Рушник з мереживом та вишивкою "Макова краса";100% льон;38х60 см;179;82_19_094_01k_76.jpg,82_19_094_01k_76.jpg,82_19_094_01k_76.jpg;Великдень;Маки;;
82-24/119/01к/76;Рушник ;Домашній текстиль/Для кухні/Рушники;Рушник з мереживом та вишивкою “Маки”;100% льон;38х210 см;390;imgp0012sm.jpg;Національна традиція;Маки;;
83-04/690/008/96;Рушник жакардовий "Кавовий";Домашній текстиль/Для кухні/Рушники;Рушник жакардовий "Кавовий";100% льон;45х70 см;89;83-04_690_19_96.jpg;Кухонний текстиль;Жаккард;;
83-10/123/001/77;Рушник "Два кольори";Домашній текстиль/Для кухні/Рушники;Рушник "Два кольори";100% льон;50х140 см;159;83-10_123_001_77.jpg;Національна традиція;Орнамент;;
85-04/041/01к/76;Рушник “Калина”;Домашній текстиль/Для кухні/Рушники;Рушник з вишивкою та мереживом “Калина”, білий;100% льон;35х90 см;279;85-04-041-01k-76.jpg;Національна традиція;Калина;;
86-04/263/000/18;Рушник з малюнком "Міста України";Домашній текстиль/Для кухні/Рушники;Рушник з малюнком "Міста України";100% льон;50х70 см;89;86-04_263_000_18.jpg;;Я люблю Україну;;
86-04/276/000/18;Рушник з малюнком "Замки України";Домашній текстиль/Для кухні/Рушники;Рушник з малюнком "Замки України";100% льон;50х70 см;89;86-04_276_000_18.jpg;;Я люблю Україну;;
86-04/284/000/18;Рушник з малюнком "Я люблю Україну";Домашній текстиль/Для кухні/Рушники;Рушник з малюнком "Я люблю Україну";100% льон;;69;ryshnuk_i_love_ukraine.jpg;;Я люблю Україну;;
90-83/011/020/78;Комплект постільної білизни ;Домашній текстиль/Для спальні/Комплекти постільної білизни;Комплект постільної білизни в асортименті;100% льон;Прост. 150х217 см, підков. 145х217 см,2 навол. 50Х70 см;1590;p1160796.jpg,p1160794.jpg;;;;
90-91/011/020/78;Комплект постільної білизни ;Домашній текстиль/Для спальні/Комплекти постільної білизни;Комплект постільної білизни в асортименті;100% льон;Простирадло 220х240 см, підковдра 200х220 см, 2 наволочки 50х70 см;2890;p1160796.jpg,p1160794.jpg;;;;
90-92/011/020/78;Комплект постільної білизни ;Домашній текстиль/Для спальні/Комплекти постільної білизни;Комплект постільної білизни в асортименті;100% льон;Простирадло 220х240 см, 2 підковдри 145х217 см, 2 наволочки 50х70 см;3200;p1160794.jpg,p1160796.jpg;;;;
92-91/066/000/78;Комплект постільної білизни ;Домашній текстиль/Для спальні/Комплекти постільної білизни;Комплект постільної білизни білий з вишивкою;100% льон;Простирадло 220х240 см, підковдра 200х220 см, 2 наволочки 50х70 см;2900;p1160798.jpg;;Прованс;;
92-91/066/010/78;Комплект постільної білизни ;Домашній текстиль/Для спальні/Комплекти постільної білизни;Комплект постільної білизни сірий з вишивкою;100% льон;Простирадло 220х240 см, підковдра 200х220 см, 2 наволочки 50х70 см;2900;;;Прованс;;
92-91/119/000/78;Комплект постільної білизни ;Домашній текстиль/Для спальні/Комплекти постільної білизни;Комплект постільної білизни з вишивкою “Маки” білий;100% льон;Простирадло 220х240 см, підковдра 200х220 см, 2 наволочки 50х70 см;3190;p1160797.jpg;;Маки;;
92-91/119/010/78;Комплект постільної білизни ;Домашній текстиль/Для спальні/Комплекти постільної білизни;Комплект постільної білизни з вишивкою “Маки” сірий;100% льон;Прост. 220х240 см, підков. 200х220 см, 2 навол. 50Х70 см;3190;92-91-119-010-78.jpg;;Маки;;
92-91/153/000/78;Комплект постільної білизни "Літо"  ;Домашній текстиль/Для спальні/Комплекти постільної білизни;Комплект постільної білизни "Літо" білий  ;100% льон;Простирадло 220х240 см, підковдра 200х220 см, 2 наволочки 50х70 см;3190;92-91-153-000-78.jpg;;Польові трави;;
92-91/153/010/78;Комплект постільної білизни "Літо"  ;Домашній текстиль/Для спальні/Комплекти постільної білизни;Комплект постільної білизни "Літо" сірий ;100% льон;Простирадло 220х240 см, підковдра 200х220 см, 2 наволочки 50х70 см;3190;92-91-153-010-78.jpg;;Польові трави;;
94-91/000/033/78;Комплект постільної білизни "Марсель"  (варений);Домашній текстиль/Для спальні/Комплекти постільної білизни;Комплект постільної білизни "Марсель" сірий ,(варений);100% льон;Простирадло 220х240 см, підковдра 200х220 см, 2 наволочки 50х70 см;3890;94-91-000-033-78.jpg,p1180351.jpg;;;;
94-92/000/033/78;Комплект постільної білизни "Марсель"  (варений);Домашній текстиль/Для спальні/Комплекти постільної білизни;Комплект постільної білизни "Марсель" сірий ,(варений);100% льон;Простирадло-220*240 см, 2 підковдри -145*217см ,2 наволочки -50*70см;4490;94-91-000-033-78.jpg,p1180351.jpg;;;;
95-83/01к/000/07;Комплект постільної білизни білий з білим мереживом;Домашній текстиль/Для спальні/Комплекти постільної білизни;Комплект постільної білизни білий з білим мереживом;100% льон;Прост. 150х217 см, підков. 145х217 см,2 навол. 50Х71 см;1990;95-83_01k_000_07.jpg;;Прованс;;
95-83/01к/010/78;Комплект постільної білизни сірий з сірим мереживом;Домашній текстиль/Для спальні/Комплекти постільної білизни;Комплект постільної білизни сірий з сірим мереживом;100% льон;Прост. 150х217 см, підков. 145х217 см,2 навол. 50Х71 см;1990;95-83_01k_010_78.jpg;;Прованс;;
81-04/001/002/73;Рушник “Прованс”;Домашній текстиль/Для кухні/Рушники;Рушник “Прованс”;100% льон;37х65 см;55;81-04-001-002-73.JPG,P1190693.JPG,P1190694.JPG,P1190695.JPG;;Прованс;;
83-10/302/033/88;Рушник банний “Ракушка”;Домашній текстиль/Для кухні/Рушники;Рушник банний “Ракушка”;100% льон;70х135 см;359;83-10-302-033-88.JPG;;;;
10-00/006/000/76;Фартух “Оливка” ;Домашній текстиль/Для кухні/Фартухи;Фартух “Оливка” ;100% льон;;219;P1190667.JPG;;Кантрі;;
10-00/200/000/76;Фартук “Гортензія”;Домашній текстиль/Для кухні/Фартухи;Фартук “Гортензія”;100% льон;;219;P1190666.JPG,P1190668.JPG;;Кантрі;;
82-04/200/000/76;Рушник “Гортензія”;Домашній текстиль/Для кухні/Рушники;Рушник “Гортензія”;100% льон;40х65 см;89;82-04-200-000-76.JPG,P1190685.JPG,P1190686.JPG;;Кантрі;;
82-04/006/000/76;Рушник “Оливка”;Домашній текстиль/Для кухні/Рушники;Рушник “Оливка”;100% льон;40х65 см;89;82-04-006-000-76.JPG;;Кантрі;;
12-10/202/000/18;Доріжка “Степова птаха” ;Домашній текстиль/Для кухні/Рушники;Доріжка “Степова птаха” , біла;100% льон;40х140 см;269;12-10-202-000-18.JPG;;Степова птаха;;
22-24/202/010/03;Скатертина “Степова птаха”;Домашній текстиль/Для кухні/Скатертини;Скатертина “Степова птаха”, сіра;100% льон;155х220 см;860;22-24-202-010-03.JPG;;Степова птаха;;
82-04/208/000/76;Рушник колекція “Птахи” Синичка;Домашній текстиль/Для кухні/Рушники;Рушник колекція “Птахи” Синичка;100% льон;45х65 см;99;82-04-208-000-76.JPG;;Птахи;;
82-04/209/000/76;Рушник колекція “Птахи” Лелека;Домашній текстиль/Для кухні/Рушники;Рушник колекція “Птахи” Лелека;100% льон;45х65 см;99;82-04-209-000-76.JPG;;Птахи;;
82-04/210/000/76;Рушник колекція “Птахи” Сойка;Домашній текстиль/Для кухні/Рушники;Рушник колекція “Птахи” Сойка;100% льон;45х65 см;99;82-04-210-000-76.JPG;;Птахи;;
82-04/230/000/76;Рушник колекція “Гурман” Десерт;Домашній текстиль/Для кухні/Рушники;Рушник колекція “Гурман” Десерт;100% льон;45х75 см;129;P1200245.JPG;;Прованс;;
82-04/231/000/76;Рушник колекція “Гурман” Дари моря;Домашній текстиль/Для кухні/Рушники;Рушник колекція “Гурман” Дари моря;100% льон;45х75 см;129;P1200248.JPG;;Прованс;;
82-04/245/000/76;Рушник колекція “Гурман” Ланч;Домашній текстиль/Для кухні/Рушники;Рушник колекція “Гурман” Ланч;100% льон;45х75 см;129;P1200244.JPG;;Прованс;;
12-10/236/016/76;Доріжка “Букет.Іриси” рожева;Домашній текстиль/Для кухні/Рушники;Доріжка “Букет.Іриси” рожева;100% льон;48х140 см;390;P1200581.JPG;;;;
12-10/236/584/76;Доріжка “Букет.Іриси” молочна;Домашній текстиль/Для кухні/Рушники;Доріжка “Букет.Іриси” молочна;100% льон;48х140 см;390;P1200240.JPG;;;;
12-10/236/930/76;Доріжка “Букет.Іриси” коричнева;Домашній текстиль/Для кухні/Рушники;Доріжка “Букет.Іриси” коричнева;100% льон;48х140 см;390;P1200238.JPG;;;;
25-21/236/265/76;Скатертина з мереживом та вишивкою “Букет.Іриси”,кругла, бордо;Домашній текстиль/Для кухні/Скатертини;Скатертина з мереживом та вишивкою “Букет.Іриси”,кругла, бордо;100% льон;150х150 см;890;25-21-236-265.JPG;;;;
25-21/236/372/76;Скатертина з мереживом та вишивкою “Букет.Іриси”,кругла, зелена;Домашній текстиль/Для кухні/Скатертини;Скатертина з мереживом та вишивкою “Букет.Іриси”,кругла, зелена;100% льон;150х150 см;890;25-21-372.JPG;;;;
25-21/236/930/76;Скатертина з мереживом та вишивкою “Букет.Іриси”,кругла,коричнева;Домашній текстиль/Для кухні/Скатертини;Скатертина з мереживом та вишивкою “Букет.Іриси”,кругла,коричнева;100% льон;150х150 см;890;25-21-930.JPG;;;;
25-30/236/265/76;Скатертина з мереживом та вишивкою “Букет.Іриси”, овальна, бордо;Домашній текстиль/Для кухні/Скатертини;Скатертина з мереживом та вишивкою “Букет.Іриси”, овальна, бордо;100% льон;150х250 см;1190;25-30-236-265.JPG;;;;
25-30/236/372/76;Скатертина з мереживом та вишивкою “Букет.Іриси”, овальна, зелена;Домашній текстиль/Для кухні/Скатертини;Скатертина з мереживом та вишивкою “Букет.Іриси”, овальна, зелена;100% льон;150х250 см;1190;25-30-372.JPG;;;;
25-30/236/930/76;Скатертина з мереживом та вишивкою “Букет.Іриси”, овальна ,коричнева;Домашній текстиль/Для кухні/Скатертини;Скатертина з мереживом та вишивкою “Букет.Іриси”, овальна ,коричнева;100% льон;150х250 см;1190;25-30-930.JPG;;;;
82-17/254/000/76;Рушник “Сови”;Домашній текстиль/Для кухні/Рушники;Рушник “Сови”;100% льон;36х60 см;99;P1200281.JPG;;;;
82-17/257/000/76;Рушник “Песик”;Домашній текстиль/Для кухні/Рушники;Рушник “Песик”;100% льон;36х60 см;99;P1200280.JPG;;;;
10-00/257/000/76;Фартух “Песик” малий;Домашній текстиль/Для кухні/Фартухи;Фартух “Песик” малий;100% льон;;169;P1200279.JPG;;;;
10-00/257/001/76;Фартух “Песик” ;Домашній текстиль/Для кухні/Фартухи;Фартух “Песик” ;100% льон;;249;P1200283.JPG;;;;
10-00/254/001/76;Фартух “Сови” малий;Домашній текстиль/Для кухні/Фартухи;Фартух “Сови” малий;100% льон;;169;P1200277.JPG;;;;
10-00/254/000/76;Фартух “Сови” ;Домашній текстиль/Для кухні/Фартухи;Фартух “Сови” ;100% льон;;249;P1200282.JPG;;;;
42-42/246/884/76;Комплект подарунковий “Сузір`я” салатовий;Домашній текстиль/Для кухні/Комплекти;Комплект подарунковий з вишивкою “Сузір`я” салатовий;100% льон;Скатертина 140х240 см - 1шт., сети 30х40 см - 6 шт.;1990;42-42-246-884-76.JPG;;;;
42-42/246/957/76;Комплект подарунковий “Сузір`я” кавовий;Домашній текстиль/Для кухні/Комплекти;Комплект подарунковий з вишивкою “Сузір`я” кавовий;100% льон;Скатертина 140х240 см - 1шт., сети 30х40 см - 6 шт.;1990;42-42-246-957-76.JPG;;;;
10-00/162/000/76;Фартух “Сад”;Домашній текстиль/Для кухні/Фартухи;Фартух “Сад”;100% льон;;249;P1200308.JPG;;;;
42-42/274/372/76;Комплект подарунковий “Настурція” зелений;Домашній текстиль/Для кухні/Комплекти;Комплект подарунковий “Настурція” зелений;100% льон;140х220 см, 120х120 см, 6 серв. 35Х35 см;1290;42-42-274-372-76.JPG;;;;
