Ссылки,Первое обнаружение
http://www.strana-cvetov.kiev.ua/mapa/?lang=eng&go=1&rayon=1&start=500&search=&all=1925,2017-06-09
http://www.strana-cvetov.kiev.ua/mapa/?lang=eng&go=1&rayon=1&start=485&search=&all=1925,2017-06-09
http://www.strana-cvetov.kiev.ua/mapa/?go=1&rayon=1&lang=ukr&start=534&all=1925,2017-06-09
http://www.strana-cvetov.kiev.ua/mapa/?go=1&rayon=1&lang=ukr&start=515&all=1925,2017-06-09
http://www.strana-cvetov.kiev.ua/mapa/?go=1&rayon=1&lang=ukr&start=511&all=1925,2017-06-09
http://www.strana-cvetov.kiev.ua/mapa/?go=1&rayon=1&lang=ukr&start=510&all=1925,2017-06-09
http://www.strana-cvetov.kiev.ua/mapa/?go=1&rayon=1&lang=ukr&start=506&all=1925,2017-06-09
http://www.strana-cvetov.kiev.ua/mapa/?go=1&rayon=1&lang=ukr&start=502&all=1925,2017-06-09
http://www.strana-cvetov.kiev.ua/mapa/?go=1&rayon=1&lang=ukr&start=498&all=1925,2017-06-09
http://www.strana-cvetov.kiev.ua/mapa/?go=1&rayon=1&lang=ukr&start=480&all=1925,2017-06-09
http://www.strana-cvetov.kiev.ua/mapa/?go=1&rayon=1&lang=rus&start=522&all=1925,2017-06-09
http://www.strana-cvetov.kiev.ua/mapa/?go=1&rayon=1&lang=rus&start=513&all=1925,2017-06-09
http://www.strana-cvetov.kiev.ua/mapa/?go=1&rayon=1&lang=rus&start=512&all=1925,2017-06-09
